symbol,series,comapnyName,new52WHL,prev52WHL,prevHLDate,ltp,prevClose,change,pChange
ABINFRA,BE,A B Infrabuild Limited,224.0,220.0,04-Sep-2025,220.0,216.98,3.02,1.3918333486957324
ACL,BE,Andhra Cements Limited,104.76,99.78,04-Sep-2025,104.76,99.78,4.98,4.990980156343957
AHCL,BE,Anlon Healthcare Limited,92.6,92.5,03-Sep-2025,92.25,91.01,1.24,1.3624876387210196
AKIKO,ST,Akiko Global Services Limited,185.85,179.0,04-Sep-2025,185.85,177,8.85,5.0
ANANDRATHI,EQ,Anand Rathi Wealth Limited,2980.5,2979.0,04-Sep-2025,2943.0,2956.2,-13.2,-0.44651918002841484
ANONDITA,ST,Anondita Medicare Limited,345.0,334.75,04-Sep-2025,342.0,334.75,7.25,2.165795369678865
APOLLO,EQ,Apollo Micro Systems Limited,321.0,315.4,04-Sep-2025,302.7,313,-10.3,-3.29073482428115
APRAMEYA,ST,Aprameya Engineering Limited,231.1,220.25,04-Sep-2025,231.1,220.1,11.0,4.997728305315766
ARIHANTACA,SM,Arihant Academy Limited,419.0,390.0,01-Sep-2025,398.45,380,18.45,4.855263157894737
BALAJITELE,BE,Balaji Telefilms Limited,114.0,111.0,04-Sep-2025,112.0,109.17,2.83,2.5922872584043235
BGRENERGY,BE,BGR Energy Systems Limited,209.87,199.88,04-Sep-2025,209.87,199.88,9.99,4.997998799279568
BLUESTONE,EQ,BlueStone Jewellery and Lifestyle Limited,629.6,625.0,20-Aug-2025,607.5,568.45,39.05,6.8695575688275134
CARYSIL,EQ,CARYSIL LIMITED,974.8,947.0,16-Jun-2025,960.0,894.4,65.6,7.334525939177102
CENTUM,EQ,Centum Electronics Limited,3044.0,2944.6,21-Aug-2025,2974.0,2817.3,156.7,5.562062968090015
COMSYN,EQ,Commercial Syn Bags Limited,155.0,154.0,04-Sep-2025,154.5,152.88,1.62,1.0596546310832025
CPEDU,BE,Career Point Edutech Limited,240.52,0.0,-,237.0,134.75,7.93,3.4618238966254857
CUMMINSIND,EQ,Cummins India Limited,3974.4,3959.5,04-Sep-2025,3922.0,3935.6,-13.6,-0.3455635735338957
EGOLD,EQ,Edelweiss Mutual Fund -Edelweiss Gold ETF,107.6,107.0,04-Sep-2025,107.25,106.65,0.6,0.5625879043600562
ETERNAL,EQ,ETERNAL LIMITED,334.4,331.35,20-Aug-2025,329.5,326.25,3.25,0.9961685823754789
FISCHER,EQ,Fischer Medical Ventures Limited,1120.5,1109.0,04-Sep-2025,1120.5,1090.3,30.2,2.7698798495826837
GANDHITUBE,EQ,Gandhi Special Tubes Limited,1008.0,978.0,04-Sep-2025,1001.0,958,43.0,4.488517745302714
GCSL,EQ,Gretex Corporate Services Limited,333.3,324.7,04-Sep-2025,300.0,317.3,-17.3,-5.45225338796092
GMDCLTD,EQ,Gujarat Mineral Development Corporation Limited,515.0,475.0,04-Sep-2025,508.0,455.2,52.8,11.599297012302285
GOLD1,EQ,Kotak Mutual Fund - Gold Exchange Traded Fund,90.93,89.03,04-Sep-2025,89.4,88.72,0.68,0.7664562669071235
GOLDBEES,EQ,NIPPON INDIA ETF GOLD BEES,89.89,88.9,04-Sep-2025,88.71,88.16,0.55,0.6238656987295825
GOLDETF,EQ,Mirae Asset Mutual Fund - Mirae Asset Gold ETF,104.57,103.7,04-Sep-2025,103.97,103.46,0.51,0.4929441329982602
GOLDETFADD,EQ,DSP Mutual Fund - DSP Gold ETF,104.31,103.82,03-Sep-2025,103.86,103.29,0.57,0.551844321812373
GOLDKART,ST,Goldkart Jewels Limited,237.0,231.0,03-Sep-2025,224.0,231,-7.0,-3.0303030303030303
GOLDSHARE,EQ,UTI Mutual Fund - UTI Gold Exchange Traded Fund,91.55,90.0,03-Sep-2025,90.0,89.35,0.65,0.7274762171236709
GROWWGOLD,EQ,Groww Mutual Fund - Groww Gold ETF,105.54,104.9,04-Sep-2025,105.19,104.37,0.82,0.7856663792277474
HBLENGINE,EQ,HBL Engineering Limited,873.0,872.9,03-Sep-2025,862.85,851.2,11.65,1.368656015037594
HLEGLAS,EQ,HLE Glascoat Limited,579.5,567.95,02-Sep-2025,551.0,527.15,23.85,4.524328938632268
INDIQUBE,EQ,Indiqube Spaces Limited,239.74,238.0,04-Sep-2025,230.0,232.03,-2.03,-0.8748868680774038
INDNIPPON,EQ,India Nippon Electricals Limited,888.0,864.7,04-Sep-2025,881.55,859.55,22.0,2.5594787970449655
INM,SM,Interiors & More Limited,597.0,592.0,04-Sep-2025,590.0,582.05,7.95,1.365862039343699
IVZINGOLD,EQ,Invesco India Gold Exchange Traded Fund,9470.0,9299.9,04-Sep-2025,9315.0,9279.7,35.3,0.3804002284556613
